term_id,term_rank,term_str,n,num,stop,p_stem,pos_max,term_rank2,p,zipf_k,zipf_k2,zipf_k3,df,idf,tfidf_sum
10508,53,them,1051,0,1,them,PRP,53,0.08845312236997138,55703,55703,4.688015485608483,140,0.0030910769771418647,0.0013625254866208433
6782,54,more,1043,0,1,more,JJR,54,0.08777983504460529,56322,56322,4.740111092408686,141,0.0,0.0
6863,55,must,1003,0,0,must,MD,55,0.08441339841777479,55165,55165,4.642736912977614,134,0.022114314290572288,0.008340910821482566
9067,56,said,987,0,0,said,VBD,56,0.08306682376704258,55272,55272,4.651742130954385,134,0.022114314290572288,0.008674624262180705
11605,57,when,972,0,1,when,WRB,57,0.08180441003198115,55404,55404,4.662851371822925,139,0.006204312401284783,0.0023795121257356687
6838,58,much,956,0,0,much,JJ,58,0.08045783538124895,55448,55448,4.66655445211244,137,0.012498545498973118,0.004719293896399993
529,59,any,952,0,1,ani,DT,59,0.0801211917185659,56168,56168,4.727150311395388,138,0.009340026254143432,0.003672300718207148
5240,60,if,939,0,1,if,IN,60,0.07902709981484599,56340,56340,4.7416259888907595,139,0.006204312401284783,0.0023387277963538076
623,61,are,936,0,1,are,VBP,61,0.0787746170678337,57096,57096,4.805251641137856,130,0.0352757603485431,0.013535811600761173
6837,62,mrs,925,0,0,mr,NNP,62,0.07784884699545531,57350,57350,4.826628513718229,133,0.02536747168829411,0.009611374492250635
6704,63,miss,921,0,0,miss,NNP,63,0.07751220333277226,58023,58023,4.883268809964652,131,0.0319478169996156,0.01165235804554854
10490,64,than,880,0,1,than,IN,64,0.074061605790271,56320,56320,4.739942770577344,137,0.012498545498973118,0.0043471892483735106
7221,65,one,864,0,0,one,CD,65,0.0727150311395388,56160,56160,4.726477024070022,139,0.006204312401284783,0.002135433164428623
420,66,am,857,0,1,am,VBP,66,0.07212590472984345,56562,56562,4.760309712169668,123,0.05931400121598193,0.020018875846214597
3976,67,fanny,816,0,0,fanni,NNP,67,0.0686753071873422,54672,54672,4.601245581551928,48,0.4679778752797927,0.11330896796067357
7228,68,only,796,0,1,onli,RB,68,0.06699208887392695,54128,54128,4.555462043427033,138,0.009340026254143432,0.002833435798432435
9480,69,should,760,0,1,should,MD,69,0.0639622959097795,52440,52440,4.413398417774785,136,0.015680204285162425,0.004760826990263408
